,name,brand,chipset,chipset_gen,ram,ram_max,vga,storage_type,storage,os,screen_size,webcam,weight,price
523,Laptop HP 15s fq2712TU 7C0X2PA (Core i3 1115G4/ 8GB/ 256GB SSD/ Intel UHD Graphics/ 15.6inch Full HD/ Windows 11 Home/ Bạc),HP,Intel,i3,8.0,16.0,intel,SSD,256,Windows 11,15.0,1,2.2,12690000 
524,Laptop HP Gaming Victus 16-e1106AX 7C0T1PA (Ryzen 5 6600H/ 8GB/ 512GB SSD/ Nvidia GeForce RTX 3050Ti 4Gb GDDR6/ 16.1inch FHD/ Windows 11 Home/ Performance Blue),HP,AMD,Ryzen 5,8.0,32.0,nvidia,SSD,512,Windows 11,16.0,1,2.4,26490000 
525,Laptop HP Gaming Victus 16-e1105AX 7C0T0PA (Ryzen 5 6600H/ 16GB/ 512GB SSD/ Nvidia GeForce RTX 3050Ti 4Gb GDDR6/ 16.1inch FHD/ Windows 11 Home/ Performance Blue),HP,AMD,Ryzen 5,16.0,32.0,nvidia,SSD,512,Windows 11,16.0,1,2.4,27990000 
526,Laptop HP Gaming Victus 16-d1187TX 7C0S4PA (Core i7 12700H/ 8GB/ 512GB SSD/ Nvidia GeForce RTX 3050Ti 4Gb GDDR6/ 16.1inch FHD/ Windows 11 Home/ Black),HP,Intel,i7,8.0,32.0,nvidia,SSD,512,Windows 11,16.0,1,2.46,32990000 
527,Laptop HP Gaming Victus 15-fa0110TX 7C0R3PA (Core i7 12700H/ 8GB/ 512GB SSD/ Nvidia GeForce RTX 3050 4Gb GDDR6/ 15.6inch Full HD/ Windows 11 Home/ Black),HP,Intel,i7,8.0,32.0,nvidia,SSD,512,Windows 11,15.0,1,2.29,30490000 
528,"Laptop HP EliteBook Dragonfly G3 6Z979PA (Core i7 1255U/ 16GB/ 512GB SSD/ Intel Iris Xe Graphics/ 13.5inch WUXGA+, Touch/ Windows 11 Pro/ Blue/ Vỏ nhôm)",HP,Intel,i7,16.0,32.0,intel,SSD,512,Windows 11,13.0,1,0.99,51990000 
529,Laptop HP Envy X360 13-bf0097TU 76B17PA (Core i5 1230U/ 8GB/ 512GB SSD/ Intel Iris Xe Graphics/ 13.3inch OLED Touch/ Windows 11 Home/ Silver/ Vỏ nhôm/ Pen),HP,Intel,i5,8.0,32.0,intel,SSD,512,Windows 11,13.0,1,1.34,27690000 
530,Laptop HP Envy X360 13-bf0094TU 76B14PA (Core i5 1230U/ 16GB/ 512GB SSD/ Intel Iris Xe Graphics/ 13.3inch OLED Touch/ Windows 11 Home/ Blue/ Vỏ nhôm/ Pen),HP,Intel,i5,16.0,32.0,intel,SSD,512,Windows 11,13.0,1,1.32,29590000 
531,Laptop Asus TUF Gaming FA506ICB-HN355W (Ryzen 5 4600H/ 8GB/ 512GB SSD/ Nvidia GeForce RTX 3050 4Gb GDDR6/ 15.6inch Full HD/ Windows 11 Home/ Black/ Vỏ nhựa),Asus,AMD,Ryzen 5,8.0,32.0,nvidia,SSD,512,Windows 11,15.0,1,2.2,20990000 
532,Laptop HP EliteBook 630 G9 6M145PA (Core i7 1255U/ 8GB/ 512GB SSD/ Intel UHD Graphics/ 13.3inch Full HD/ Windows 11 Home/ Silver/ Vỏ nhôm),HP,Intel,i7,8.0,32.0,intel,SSD,512,Windows 11,13.0,1,1.28,26390000 
533,Máy tính xách tay Asus Vivobook M3401QA-KM006W (Ryzen 5 5600H/ 8GB/ 512GB SSD/ AMD Radeon Graphics/ 14.0inch OLED/ Windows 11 Home/ Silver/ Vỏ nhôm),Asus,AMD,Ryzen 5,8.0,32.0,amd,SSD,512,Windows 11,14.0,1,1.4,22990000 
534,Laptop HP ProBook 450 G10 873J6PA 16GB (Core i5 1340P/ 16GB/ 512GB SSD/ Intel UHD Graphics/ 15.6inch FHD Touch screen/ Windows 11 Home/ Silver/ Vỏ nhôm),HP,Intel,i5,16.0,64.0,intel,SSD,512,Windows 11,15.0,1,1.74,20990000 
535,Laptop HP ProBook 450 G10 9H8W0PT (Core i7 1360P/ 16GB/ 512GB SSD/ Intel UHD Graphics/ 15.6inch FHD Touch screen/ Windows 11 Home/ Silver/ Vỏ nhôm),HP,Intel,i7,16.0,64.0,intel,SSD,512,Windows 11,15.0,1,1.79,27690000 
536,Laptop HP ProBook 440 G10 873B1PA 16GB (Core i5 1340P/ 16GB/ 512GB SSD/ Intel UHD Graphics/ 14.0inch FHD TouchScreen/ Windows 11 Home/ Silver/ Vỏ nhôm),HP,Intel,i5,16.0,32.0,intel,SSD,512,Windows 11,14.0,1,1.38,20990000 
537,Laptop Asus Zenbook Pro 14 Duo OLED UX8402VU-P1028W (Core i9-13900H/ 32GB/ 1TB SSD/ Nvidia GeForce RTX 4050 6GB GDDR6/ 14.5inch 3K Touch/ Windows 11 Home/ Black/ Vỏ nhôm),Asus,Intel,i9,32.0,32.0,nvidia,SSD,1024,Windows 11,14.0,1,1.75,64990000 
538,Laptop HP EliteBook 640 G10 873H2PA (Core i7 1355U/ 16GB/ 512GB SSD/ Intel Iris Xe Graphics/ 14.0inch Full HD/ Windows 11 Home/ Silver/ Vỏ nhôm),HP,Intel,i7,16.0,32.0,intel,SSD,512,Windows 11,14.0,1,1.41,28990000 
539,Laptop Asus Zenbook 14 OLED UX3405MA-PP152W (Ultra 7 155H/ 32GB/ 1TB/ Intel Arc Graphics/ 14.0inch 3K/ Windows 11 Home/ Blue),Asus,Intel,Core,32.0,32.0,intel,SSD,1024,Windows 11,14.0,1,1.4,34990000 
540,Laptop HP ProBook 440 G10 9H8U6PT (Core i5 1335U/ 16GB/ 512GB SSD/ Intel UHD Graphics/ 14.0inch Full HD/ Windows 11 Home/ Silver/ Vỏ nhôm),HP,Intel,i5,16.0,32.0,intel,SSD,512,Windows 11,14.0,1,1.38,22990000 
541,Laptop HP EliteBook 630 G10 9J0B3PT (Core i5 1335U/ 8GB/ 512GB SSD/ Intel UHD Graphics/ 13.3inch Full HD/ Windows 11 Home/ Silver/ Vỏ nhôm),HP,Intel,i5,8.0,32.0,intel,SSD,512,Windows 11,13.0,1,1.4,22790000 
542,Laptop Asus Vivobook 15X OLED A1503ZA-L1290W (Core i5 12500H/ 8GB/ 512GB SSD/ Intel UHD Graphics/ 15.6inch Full HD/ Windows 11 Home/ Blue),Asus,Intel,i5,8.0,32.0,intel,SSD,512,Windows 11,15.0,1,1.8,20990000 
543,Laptop Asus Vivobook A1503ZA-L1139W (Core i5 12500H/ 8GB/ 512GB SSD/ Intel UHD Graphics/ 15.6inch Full HD/ Windows 11 Home/ Silver),Asus,Intel,i5,8.0,32.0,intel,SSD,512,Windows 11,15.0,1,1.8,20990000 
544,Laptop HP EliteBook 630 G10 9J0B6PT (Core i7 1355U/ 8GB/ 512GB SSD/ Intel UHD Graphics/ 13.3inch Full HD/ Windows 11 Home/ Silver/ Vỏ nhôm),HP,Intel,i7,8.0,32.0,intel,SSD,512,Windows 11,13.0,1,1.4,26790000 
