,name,brand,chipset,chipset_gen,ram,ram_max,vga,storage_type,storage,os,screen_size,screen_width,screen_height,screen_revolution,battery,webcam,weight,price,screen_full
47,Laptop Lenovo ThinkPad E16 Gen 1 21JN0062VA (Core i5-1335U | 8GB | 512GB | Intel® Iris® Xe | 16.0inch WUXGA | No OS | Đen),Lenovo,Intel,i5,8.0,40.0,intel,SSD,512,NoOS,16.0,1920.0,1200.0,WUXGA,47.0,1,1.81,19990000.0,1920x1200
48,Laptop Dell Inspiron 3530 N3530-i5U085W11SLU (Intel Core i5-1335U | 8GB | 512GB | Intel UHD | 15.6 inch FHD | Win 11 | Office | Bạc),Dell,Intel,i5,8.0,12.0,intel,SSD,512,Windows 11,15.6,1920.0,1080.0,FHD,41.0,1,1.85,20990000.0,1920 x 1080
49,Laptop Lenovo Ideapad Slim 5 16IMH9 83DC001RVN (Intel® Core™ Ultra 5 125H | 16GB | 512GB | Intel® Arc™ Graphics | 16 inch QHD OLED 120Hz | Win 11 | Xám),Lenovo,Intel,Ultra 5,16.0,24.0,intel,SSD,512,Windows 11,16.0,2048.0,1280.0,2K,57.0,1,1.82,22990000.0,2048x1280
50,Laptop Lenovo ThinkPad T14 Gen 4 21HESBDA00 (Core i7-1360P | 16GB | 512GB | Intel Iris Xe Graphics | 14.0inch WUXGA | Win11 Pro | Đen),Lenovo,Intel,i7,16.0,24.0,intel,SSD,512,Windows 11,14.0,1920.0,1200.0,WUXGA,39.3,1,1.36,37990000.0,1920x1200
51,Laptop HP 15s-fq5228TU 8U240PA (Core™ i3-1215U | 8GB | 512GB | Intel UHD Graphics | 15.6 inch FHD | Win 11 | Xanh),HP,Intel,i5,8.0,12.0,intel,SSD,512,Windows 11,15.6,1920.0,1080.0,FHD,41.0,1,1.7,13390000.0,1920 x 1080
52,"Laptop Lenovo ThinkPad X1 Nano (Core™ i7-1180G7, Ram 16GB, 256GB SSD, Intel® Irs Xe, 13.0inch 2K)",Lenovo,Intel,i7,16.0,24.0,intel,SSD,256,Windows 10,13.0,2160.0,1350.0,2K,48.0,1,0.907,21990000.0,2160 x 1350
53,Laptop Lenovo ThinkPad E14 Gen 5 21JLS2FJ00 (Core™ i5-13500H | 32GB | 512GB | Intel® Iris® Xe Graphics | 14inch WUXGA | No OS | Đen),Lenovo,Intel,i5,32.0,48.0,intel,SSD,512,NoOS,14.0,1920.0,1200.0,WUXGA,47.0,1,1.53,22190000.0,1920x1200
54,Laptop Lenovo IdeaPad Slim 5 15IRU9 83D00003VN (Intel® Core™ 5 120U | 32GB | 512GB | Intel® Graphics | 15.3inch WUXGA | Win 11 | Xám),Lenovo,Intel,i5,32.0,48.0,intel,SSD,512,Windows 11,15.3,1920.0,1200.0,WUXGA,57.0,1,1.79,21990000.0,1920x1200
55,Laptop Lenovo Yoga 7 2in1 14IML9 83DJ001FVN (Intel® Core™ Ultra 7 155H | 16GB | 512GB | Intel® Arc™ Graphics | 14.0inch WUXGA OLED | Cảm ứng | Bút cảm ứng | Win 11 | Office | Xám),Lenovo,Intel,Ultra 7,16.0,24.0,intel,SSD,512,Windows 11,14.0,1920.0,1200.0,WUXGA,71.0,1,1.49,29990000.0,1920x1200
56,Laptop Dell Inspiron 15 3520 N5I5011W1 (Core i5-1235U | 16GB | 512GB | Intel Iris Xe | 15.6 inch FHD | Win 11 | Office | Đen),Dell,Intel,i5,8.0,12.0,intel,SSD,256,Windows 11,15.6,1920.0,1080.0,FHD,41.0,1,1.65,16990000.0,1920 x 1080
57,Laptop Lenovo ThinkBook 14 G6 IRL 21KG00QMVN (Core™ i5-13500H | 16GB | 512GB | Intel Iris Xe | 14 inch WUXGA | No OS | Xám),Lenovo,Intel,i5,16.0,64.0,intel,SSD,512,NoOS,14.0,1920.0,1200.0,WUXGA,60.0,1,1.38,19990000.0,1920x1200
58,Laptop Lenovo IdeaPad Slim 3 15IRH8 83EM003EVN (Core™ i7-13620H | 16GB | 512GB | 15.6 inch FHD | Win 11 | Xám),Lenovo,Intel,i7,16.0,24.0,intel,SSD,512,Windows 11,15.6,1920.0,1080.0,FHD,47.0,1,1.62,18990000.0,1920x1080
59,Laptop Dell Inspiron 15 3520 25P231 (Intel Core i5-1235U | 16GB | 512GB | Intel Iris Xe | 15.6 inch FHD | Win 11 | Office | Đen),Dell,Intel,i5,8.0,12.0,intel,SSD,256,Windows 11,15.6,1920.0,1080.0,FHD,41.0,1,1.65,16990000.0,1920 x 1080
60,"Laptop HP Envy x360 2in1 16-ac0013dx (Core Ultra 5 125U, Ram 16GB, 512GB SSD, Iris Xe Graphics, 16 WUXGA, Cảm ứng, Win 11)",HP,Intel,Ultra 5,16.0,24.0,intel,SSD,512,Windows 11,16,1920.0,1200.0,WUXGA,68.0,1,1.87,21990000.0,1920 x 1200
61,"Laptop HP Envy x360 2in1 14-fc0023dx (Core Ultra 7 155U, Ram 16GB, 1TB SSD, Intel® Arc™ graphics, 14 WUXGA, Cảm ứng, Win 11)",HP,Intel,Ultra 7,16.0,24.0,intel,SSD,1024,Windows 11,14,1920.0,1200.0,WUXGA,59.0,1,1.4,26990000.0,1920 x 1200
62,Laptop Dell Inspiron 5440 N4I5211W1 (Intel Core i5-120U | 16GB | 512GB | Intel® Graphics | 14 inch FHD+ | Win 11 | Office | Xanh),Dell,Intel,i5,16.0,24.0,intel,SSD,512,Windows 11,14.0,1920.0,1200.0,FHD,54.0,1,1.56,24490000.0,1920 x 1200
63,Laptop Dell XPS 13 Plus 9340 XPSU5002W1 (Ultra 5 125H | 16GB | 2TB | Intel® Arc™ graphics | 13.4inch FHD+ | Win 11 | Office | Bạc),Dell,Intel,Ultra 5,16.0,24.0,intel,SSD,2048,Windows 11,13.4,1920.0,1200.0,FHD,55.0,1,1.19,59990000.0,1920 x 1200
64,Laptop Asus ExpertBook B1 B1502CVA-NJ0101W (Core™ i3-1315U | 8GB | 256GB | Intel UHD Graphics | 15.6inch FHD | Win11 | Đen),Asus,Intel,i3,8.0,12.0,intel,SSD,256,Windows 11,15.6,1920.0,1080.0,FHD,42.0,1,1.69,11990000.0,1920 x 1080
65,Laptop Dell Inspiron 5440 N4I7204W1 (Intel Core i7-150U | 16GB | 512GB | Intel® Graphics | 14 inch FHD+ | Win 11 | Office | Xanh),Dell,Intel,i7,16.0,24.0,intel,SSD,512,Windows 11,14.0,1920.0,1200.0,FHD,54.0,1,1.56,26490000.0,1920 x 1200
66,Laptop Asus ExpertBook B1 B1502CVA-NJ0149W (Core™ i3-1315U | 8GB | 512GB | Intel UHD Graphics | 15.6inch FHD | Win11 | Đen),Asus,Intel,i3,8.0,12.0,intel,SSD,512,Windows 11,15.6,1920.0,1080.0,FHD,42.0,1,1.69,12490000.0,1920 x 1080
67,Laptop Asus ExpertBook B1 B1502CVA-NJ0175W (Core™ i5-1355U | 16GB | 512GB | Intel UHD Graphics | 15.6inch FHD | Win11 | Đen),Asus,Intel,i5,16.0,24.0,intel,SSD,512,Windows 11,15.6,1920.0,1080.0,FHD,42.0,1,1.69,16290000.0,1920 x 1080
68,Laptop Asus ExpertBook B9 OLED B9403CVA-KM0157X (Core™ i7-1355U | 16GB | 1TB | Intel Iris Xe | 14.0 inch WQXGA+ OLED | Win 11 Pro | Đen),Asus,Intel,i7,16.0,24.0,intel,SSD,1024,Windows 11,14.0,2880.0,1800.0,FHD,63.0,1,0.99,49990000.0,2880 x 1800
69,Laptop Dell Latitude 5440 L54401355U16512G (Core i7-1355U | 16GB | 512GB | Intel Iris Xe | 14 inch FHD | No OS | Xám),Dell,Intel,i7,16.0,24.0,intel,SSD,512,NoOS,14.0,1920.0,1080.0,FHD,54.0,1,1.36,32990000.0,1920x1080
70,Laptop Asus ExpertBook B9 OLED B9403CVA-KM0351X (Core™ i7-1355U | 32GB | 1TB | Intel Iris Xe | 14.0 inch WQXGA+ OLED | Win 11 Pro | Đen),Asus,Intel,i7,32.0,48.0,intel,SSD,1024,Windows 11,14.0,2880.0,1800.0,FHD,63.0,1,0.99,55990000.0,2880 x 1800
71,"Laptop Dell XPS 13 9315 (Core™ i5-1230U, Ram 8GB, SSD 512GB, FHD+)",Dell,Intel,i5,8.0,12.0,intel,SSD,512,Windows 11,13.4,1920.0,1200.0,FHD,54.0,1,1.17,24990000.0,1920 x 1200
72,"Laptop Dell XPS 13 9315 (Core™ i7-1250U, Ram 16GB, SSD 512GB, FHD+)",Dell,Intel,i7,16.0,24.0,intel,SSD,512,Windows 11,13.4,1920.0,1200.0,FHD,54.0,1,1.17,30990000.0,1920 x 1200
73,"Laptop Dell XPS 13 9315 (Core™ i7-1250U, Ram 32GB, SSD 1TB, FHD+)",Dell,Intel,i7,32.0,48.0,intel,SSD,1024,Windows 11,13.4,1920.0,1200.0,FHD,54.0,1,1.17,33990000.0,1920 x 1200
74,Laptop Dell Inspiron 3530 71035574 (Core i7-1355U | 16GB | 512GB | Intel Iris Xe | 15.6 inch FHD | Win 11 | Office | Bạc),Dell,Intel,i7,16.0,24.0,intel,SSD,512,Windows 11,14.0,1920.0,1080.0,FHD,41.0,1,1.62,22990000.0,1920 x 1080
75,Laptop Lenovo Ideapad Slim 5 14IMH9 83DA0020VN (Intel® Core™ Ultra 7 155H | 32GB | 1TB | Intel® Arc™ Graphics | 14 inch WUXGA OLED | Win 11 | Xám),Lenovo,Intel,Ultra 7,32.0,48.0,intel,SSD,1024,Windows 11,14.0,1920.0,1200.0,WUXGA,57.0,1,1.46,27990000.0,1920x1200
76,Laptop Lenovo IdeaPad Slim 3 14IRH8 83EL0023VN (Core™ i7-13620H | 16GB | 512GB | Intel UHD | 14 inch FHD | Win 11 | Xám),Lenovo,Intel,i7,16.0,24.0,intel,SSD,512,Windows 11,14.0,1920.0,1080.0,FHD,47.0,1,1.37,17990000.0,1920x1080
77,"Laptop Dell XPS 13 Plus 9320 (Core i7-1370P, Ram 32GB, 1TB SSD , Intel Iris Xe , 13.4 inch 3.5K OLED, Cảm ứng, Win 11, Bạc)",Dell,Intel,i7,32.0,48.0,intel,SSD,1024,Windows 11,13.4,3456.0,2160.0,3.5K,55.0,1,1.26,52990000.0,3456 × 2160
78,"Laptop Dell XPS 13 Plus 9320 (Core i7-1360P, Ram 16GB, 512GB SSD , Intel Iris Xe , 13.4 inch 3.5K OLED, Cảm ứng, Win 11, Bạc)",Dell,Intel,i7,16.0,24.0,intel,SSD,512,Windows 11,13.4,3456.0,2160.0,3.5K,55.0,1,1.26,44990000.0,3456 × 2160
79,"Laptop Dell XPS 13 9315 (Core™ i5-1230U, Ram 16GB, SSD 512GB, FHD+)",Dell,Intel,i5,16.0,24.0,intel,SSD,512,Windows 11,13.4,1920.0,1200.0,FHD,54.0,1,1.17,27990000.0,1920 x 1200
80,Laptop Dell Latitude 5440 L54401335U08512G (Core i5-1335U | 8GB | 512GB | Intel Iris Xe | 14 inch FHD | Ubuntu),Dell,Intel,i5,8.0,12.0,intel,SSD,512,Ubuntu,14.0,1920.0,1080.0,FHD,54.0,1,1.36,25990000.0,1920x1080
81,"Laptop Dell XPS 13 Plus 9320 (Core i7-1360P, Ram 16GB, 512GB SSD , Intel Iris Xe , 13.4 inch FHD+, Cảm ứng, Win 11, Bạc)",Dell,Intel,i7,16.0,24.0,intel,SSD,512,Windows 11,13.4,1920.0,1200.0,FHD,55.0,1,1.26,41990000.0,1920x1200
