,name,brand,chipset,chipset_gen,ram,ram_max,vga,storage_type,storage,os,screen_size,screen_revolution,battery,webcam,weight,price,screen_pixels,screen_width,screen_height
159,Laptop Dell Vostro 3430 (71011900) (i5 1335U 8GB RAM/512GB SSD/ 14.0FHD/Win11/OfficeHS21/Xám),Dell,Intel,i5,8,16,intel,SSD,512,Windows 11,14.0,FHD,41.0,1,1.44,16999000,1920x1080,1920,1080
160,Laptop Lenovo Thinkpad E15  G4 (21E600CFVA) (i5 1235U/8GB RAM/512GB SSD/15.6 FHD/Dos/Đen),Lenovo,Intel,i5,8,40,intel,SSD,512,Dos,15.6,FHD,45.0,1,1.7 ,18299000,1920x1080,1920,1080
161,Microsoft Surface Surface Pro 9 (i5 1235U/8GB RAM/256GB SSD/13/Win11/Platinum)(Bảo hành tại HACOM),Microsoft,Intel,i5,8,16,intel,SSD,256,Windows 11,13,FHD,41.0,0,1.7,28299000,2880x1920,2880,1920
162,Laptop HP 15-fd0084TU (8D737PA) (i7 1355U/8GB RAM/512GB SSD/15.6 FHD/Win11/Bạc),HP,Intel,i7,8,16,intel,SSD,512,Windows 11,15.6,FHD,41.0,1,1.59 ,19349000,1920x1080,1920,1080
163,Microsoft Surface Surface Pro 9 (i5 1235U/8GB RAM/256GB SSD/13/Win11/Sapphire)(Bảo hành tại HACOM),Microsoft,Intel,i5,8,16,intel,SSD,256,Windows 11,13,FHD,41.0,0,1.7,28299000,2880x1920,2880,1920
164,Laptop Asus VivoBook X1504ZA-NJ582W (i3 1215U/8GB RAM/512GB SSD/15.6 FHD/Win11/Bạc),Asus,Intel,i3,8,16,intel,SSD,512,Windows 11,15.6,FHD,45.0,1,1.70 ,9899000,1920x1080,1920,1080
165,Laptop Lenovo IdeaPad 3 15IAU7 (82RK00W4VN) (i7 1255U/16GB RAM/512GB SSD/15.6 FHD/Win11/Xám),Lenovo,Intel,i7,8,16,intel,SSD,512,Windows 11,15.6,FHD,45.0,1,1.63 ,15849000,1920x1080,1920,1080
166,Laptop HP Envy X360 13-bf0090TU (76B13PA) (i7 1250U/16GB RAM/512GB SSD/13.3 QHD Cảm ứng/Bút/Win11/Xanh),HP,Intel,i7,16,16,intel,SSD,512,Windows 11,13.3,QHD,51.0,1,1.32 ,27349000,2560x1440,2560,1440
167,Laptop Lenovo V14 Gen 4 (83A0000TVN) (i3 1315U/8GB RAM/512GB SSD/14 FHD/Win11/Xám),Lenovo,Intel,i3,8,16,intel,SSD,512,Windows 11,14,FHD,45.0,1,1.69 ,10199000,1920x1080,1920,1080
168,Laptop Dell Inspiron 14 7430 2 in 1 (N7430I58W1) (i5 1335U/8GB RAM/512GB SSD/14.0 inch FHD+ /Cảm ứng/Bút/Win11/Office HS21/Bạc) ,Dell,Intel,i5,8,16,intel,SSD,512,Windows 11,14.0,FHD,54.0,1,1.58,21549000,1920x1200,1920,1200
169,Laptop Dell Inspiron 3530 (N5I5791W1) (i5 1335U 16GB RAM/512GB SSD/15.6 inch FHD 120Hz/Win11/OfficeHS21/Đen),Dell,Intel,i5,16,16,intel,SSD,512,Windows 11,15.6,FHD,41.0,1,1.65,18099000,1920x1080,1920,1080
170,Laptop Dell Vostro 16 5630 (V5630-i5U165W11GRU) (i5 1335U 16GB RAM/512GB SSD/16.0 inch FHD+/ Win11/Office HS21/Xám/Vỏ nhôm),Dell,Intel,i5,16,16,intel,SSD,512,Windows 11,16.0,FHD,54.0,1,1.9,23299000,1920x1200,1920,1200
171,Microsoft Surface Surface Pro 9 (i5 1235U/8GB RAM/256GB SSD/13/Win11/Graphite)(Bảo hành tại HACOM),Microsoft,Intel,i5,8,16,intel,SSD,256,Windows 11,13,FHD,41.0,0,1.7,28299000,2880x1920,2880,1920
172,Laptop Lenovo Thinkbook 16 Gen 6 (21KH00C0VN) (i5 13500H/16GB RAM/512GB SSD/16 WUXGA/Win11/Xám),Lenovo,Intel,i5,16,64,intel,SSD,512,Windows 11,16,WUXGA,47.0,1,1.7 ,19799000,1920x1200,1920,1200
173,Laptop Asus ZenBook UP3404VA-KN038W (i5 1340P/16GB RAM/512GB SSD/14 Oled Cảm ứng/Win11/Bút/Cáp/Túi/Xanh),Asus,Intel,i5,16,16,intel,SSD,512,Windows 11,14.0,FHD,75.0,1,1.27 ,25299000,2880x1800,2880,1800
174,Laptop Lenovo Thinkpad E16 Gen 1 (21JN0065VA) (i5 1340P/8GB RAM/512GB SSD/16 WUXGA/Dos/Đen),Lenovo,Intel,i5,8,40,intel,SSD,512,Windows 11,16,WUXGA,47.0,1,1.81 ,19799000,1920x1200,1920,1200
175,Laptop Dell Inspiron 14 5430 (20DY31) (i7 1360P/16GB RAM/1TB SSD/14.0 inch FHD+/Win11/Office HS21/Bạc/Vỏ nhôm),Dell,Intel,i7,16,16,intel,SSD,1024,Windows 11,14.0,FHD,54.0,1,1.53,25549000,1920x1200,1920,1200
